text,label
hi,greeting
hello,greeting
hey,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
hey there,greeting
hi there,greeting
hello there,greeting
howdy,greeting
sup,greeting
what's up,greeting
greetings,greeting
hiya,greeting
yo,greeting
hey bot,greeting
hello bot,greeting
good day,greeting
how are you,greeting
nice to meet you,greeting
hey medibot,greeting
hello medibot,greeting
start,greeting
help me,greeting
i need help,greeting
can you help me,greeting
bye,farewell
goodbye,farewell
see you later,farewell
thanks bye,farewell
ok thanks,farewell
thank you bye,farewell
take care,farewell
see ya,farewell
cya,farewell
later,farewell
ok goodbye,farewell
done thanks,farewell
thanks for your help,farewell
that's all i needed,farewell
you were helpful,farewell
i'm done,farewell
finishing up,farewell
ok that's enough,farewell
i'll go now,farewell
have a good day,farewell
what is diabetes,general_info
what is hypertension,general_info
what is cancer,general_info
what is asthma,general_info
what is arthritis,general_info
what is anemia,general_info
what is pneumonia,general_info
what is tuberculosis,general_info
what is cholesterol,general_info
what is blood pressure,general_info
tell me about heart disease,general_info
explain what covid is,general_info
what is dengue,general_info
what causes malaria,general_info
what is a stroke,general_info
what is alzheimer's disease,general_info
what is parkinson's disease,general_info
tell me about kidney disease,general_info
what is celiac disease,general_info
what is crohn's disease,general_info
what is lupus,general_info
what is fibromyalgia,general_info
what is epilepsy,general_info
tell me about multiple sclerosis,general_info
what is hypothyroidism,general_info
what is hyperthyroidism,general_info
what is type 1 diabetes,general_info
what is type 2 diabetes,general_info
what is a hernia,general_info
what is appendicitis,general_info
what is gastritis,general_info
what is colitis,general_info
what is pancreatitis,general_info
what is hepatitis,general_info
what is hepatitis b,general_info
what is hepatitis c,general_info
what is hiv,general_info
what is aids,general_info
explain hiv aids,general_info
what is sickle cell anemia,general_info
what is bone cancer,general_info
what is breast cancer,general_info
what is lung cancer,general_info
what is colon cancer,general_info
what is skin cancer,general_info
what is melanoma,general_info
what is rheumatoid arthritis,general_info
what is osteoporosis,general_info
what is kidney stones,general_info
what are kidney stones,general_info
what is gout,general_info
what is eczema,general_info
what is psoriasis,general_info
what is rosacea,general_info
what is athlete's foot,general_info
what is ringworm,general_info
what is scabies,general_info
what is shingles,general_info
what is herpes,general_info
what is chlamydia,general_info
what is gonorrhea,general_info
what is syphilis,general_info
what is endometriosis,general_info
what is PCOS,general_info
what is polycystic ovary syndrome,general_info
what is fibroids,general_info
what is uterine fibroids,general_info
what is prostate cancer,general_info
what is BPH benign prostatic hyperplasia,general_info
what is erectile dysfunction,general_info
what is cataracts,general_info
what is glaucoma,general_info
what is macular degeneration,general_info
what is conjunctivitis,general_info
what is pink eye,general_info
what is sinusitis,general_info
what is tonsillitis,general_info
what is laryngitis,general_info
what is bronchitis,general_info
what is COPD,general_info
what is emphysema,general_info
what is sleep apnea,general_info
what is a blood clot,general_info
what is deep vein thrombosis,general_info
what is pulmonary embolism,general_info
what is atrial fibrillation,general_info
what is heart failure,general_info
what is coronary artery disease,general_info
what is angina,general_info
what is myocardial infarction,general_info
define myocardial infarction,general_info
what does it mean to have anemia,general_info
explain what diabetes mellitus is,general_info
what is the difference between type 1 and type 2 diabetes,general_info
what does hypertension mean,general_info
can you explain what asthma is,general_info
what is a urinary tract infection,general_info
what is a UTI,general_info
what is hay fever,general_info
what is seasonal allergies,general_info
what is food allergy,general_info
what is lactose intolerance,general_info
what is celiac,general_info
what is gluten intolerance,general_info
i have a headache,symptoms
i have chest pain,symptoms
i'm having trouble breathing,symptoms
i feel dizzy,symptoms
i have a fever of 102,symptoms
my stomach hurts,symptoms
i feel nauseous,symptoms
i've been vomiting,symptoms
i have diarrhea,symptoms
my back hurts,symptoms
i have joint pain,symptoms
my legs are swelling,symptoms
i have a rash on my arm,symptoms
i feel very tired,symptoms
i can't sleep,symptoms
i have shortness of breath,symptoms
i have a sore throat,symptoms
my nose is running,symptoms
i have a cough,symptoms
i'm coughing up blood,symptoms
i have blood in my urine,symptoms
my vision is blurry,symptoms
i have ear pain,symptoms
i have a toothache,symptoms
my gums are bleeding,symptoms
i feel heart palpitations,symptoms
my heart is racing,symptoms
i have numbness in my hand,symptoms
my fingers are tingling,symptoms
i have weakness in my legs,symptoms
i have a stiff neck,symptoms
i have muscle cramps,symptoms
i have abdominal cramps,symptoms
i'm losing weight without trying,symptoms
i keep losing weight for no reason,symptoms
my urine is very dark,symptoms
i have pale stools,symptoms
i have night sweats,symptoms
i wake up sweating,symptoms
i've been very thirsty,symptoms
i urinate very frequently,symptoms
i have frequent urination,symptoms
i have burning when i urinate,symptoms
i have a painful urination,symptoms
i have yellowing of the skin,symptoms
i have yellow eyes,symptoms
i have a dry cough that won't go away,symptoms
i feel pressure in my chest,symptoms
i have sharp chest pain,symptoms
i have pain that radiates to my left arm,symptoms
i have swollen lymph nodes,symptoms
my glands are swollen,symptoms
i have pain in my upper right abdomen,symptoms
i feel bloated all the time,symptoms
i have gas and bloating,symptoms
i have difficulty swallowing,symptoms
i have heartburn,symptoms
i have acid reflux,symptoms
i feel full very quickly,symptoms
i have blood in my stool,symptoms
i have black stools,symptoms
i have constipation,symptoms
i have trouble going to the bathroom,symptoms
i've had a headache for 3 days,symptoms
my head has been hurting for a week,symptoms
i have a migraine,symptoms
i have sudden severe headache,symptoms
my ears are ringing,symptoms
i have tinnitus,symptoms
i feel unsteady walking,symptoms
i have balance problems,symptoms
